time,cpu %,memory %
2024-06-10 16:15:44,0.02,0.09
2024-06-10 16:15:48,0.02,0.09
2024-06-10 16:15:52,0.05,0.09
2024-06-10 16:15:56,0.03,0.09
2024-06-10 16:16:00,0.02,0.09
2024-06-10 16:16:04,0.05,0.09
2024-06-10 16:16:08,0.03,0.09
2024-06-10 16:16:12,0.03,0.09
2024-06-10 16:16:16,0.02,0.09
2024-06-10 16:16:20,0.02,0.09
2024-06-10 16:16:24,0.02,0.09
2024-06-10 16:16:28,0.02,0.09
2024-06-10 16:16:32,0.04,0.09
2024-06-10 16:16:36,0.01,0.09
2024-06-10 16:16:40,37.40,0.10
2024-06-10 16:16:44,0.02,0.10
2024-06-10 16:16:48,0.01,0.10
2024-06-10 16:16:52,0.08,0.10
2024-06-10 16:16:56,92.98,0.10
2024-06-10 16:17:00,39.36,0.10
2024-06-10 16:17:04,38.23,0.10
2024-06-10 16:17:08,39.65,0.10
2024-06-10 16:17:12,33.56,0.10
2024-06-10 16:17:16,36.24,0.10
2024-06-10 16:17:20,11.12,0.10
2024-06-10 16:17:24,0.02,0.10
2024-06-10 16:17:28,0.02,0.10
2024-06-10 16:17:32,0.80,0.10
2024-06-10 16:17:36,1.68,0.10
2024-06-10 16:17:40,1.78,0.10
2024-06-10 16:17:44,4.59,0.10
2024-06-10 16:17:48,4.61,0.10
2024-06-10 16:17:52,4.16,0.10
2024-06-10 16:17:56,0.02,0.09
2024-06-10 16:18:00,0.02,0.09
2024-06-10 16:18:04,0.02,0.09
2024-06-10 16:18:08,92.65,0.10
2024-06-10 16:18:12,83.16,0.10
2024-06-10 16:18:16,52.27,0.11
2024-06-10 16:18:20,44.74,0.10
2024-06-10 16:18:24,45.36,0.10
2024-06-10 16:18:28,49.87,0.10
2024-06-10 16:18:32,39.96,0.10
2024-06-10 16:18:36,3.67,0.10
2024-06-10 16:18:40,3.75,0.10
2024-06-10 16:18:44,82.08,0.10
2024-06-10 16:18:48,3.92,0.10
2024-06-10 16:18:52,4.17,0.11
2024-06-10 16:18:56,4.69,0.11
2024-06-10 16:19:00,6.42,0.10
2024-06-10 16:19:04,5.10,0.10
2024-06-10 16:19:08,0.01,0.10
2024-06-10 16:19:12,0.06,0.10
2024-06-10 16:19:16,101.19,0.10
2024-06-10 16:19:20,58.68,0.10
2024-06-10 16:19:24,51.67,0.10
2024-06-10 16:19:28,46.14,0.10
2024-06-10 16:19:32,57.36,0.11
2024-06-10 16:19:36,42.43,0.10
2024-06-10 16:19:40,27.68,0.10
2024-06-10 16:19:44,4.93,0.10
2024-06-10 16:19:48,5.23,0.10
2024-06-10 16:19:53,3.87,0.10
2024-06-10 16:19:57,4.50,0.10
2024-06-10 16:20:01,4.33,0.10
2024-06-10 16:20:05,6.12,0.10
2024-06-10 16:20:09,3.00,0.10
2024-06-10 16:20:13,3.44,0.10
2024-06-10 16:20:17,0.02,0.10
2024-06-10 16:20:21,0.02,0.10
2024-06-10 16:20:25,85.40,0.10
2024-06-10 16:20:29,61.11,0.10
2024-06-10 16:20:33,43.79,0.10
2024-06-10 16:20:37,31.91,0.10
2024-06-10 16:20:41,40.98,0.10
2024-06-10 16:20:45,41.57,0.10
2024-06-10 16:20:49,33.14,0.10
2024-06-10 16:20:53,4.28,0.10
2024-06-10 16:20:57,3.63,0.10
2024-06-10 16:21:01,3.70,0.10
2024-06-10 16:21:05,3.43,0.10
2024-06-10 16:21:09,4.23,0.10
2024-06-10 16:21:13,4.96,0.10
2024-06-10 16:21:17,3.74,0.10
2024-06-10 16:21:21,3.86,0.10
2024-06-10 16:21:25,0.02,0.10
2024-06-10 16:21:29,0.02,0.10
2024-06-10 16:21:33,0.03,0.10
2024-06-10 16:21:37,0.03,0.10
2024-06-10 16:21:41,43.31,0.10
2024-06-10 16:21:45,0.02,0.10
2024-06-10 16:21:49,3.94,0.10
2024-06-10 16:21:53,0.02,0.10
2024-06-10 16:21:57,0.02,0.10
2024-06-10 16:22:01,0.02,0.10
2024-06-10 16:22:05,0.02,0.10
2024-06-10 16:22:09,37.67,0.10
2024-06-10 16:22:13,53.56,0.10
2024-06-10 16:22:17,0.02,0.10
2024-06-10 16:22:21,0.02,0.10
2024-06-10 16:22:25,50.95,0.11
2024-06-10 16:22:29,44.37,0.10
2024-06-10 16:22:33,0.02,0.10
2024-06-10 16:22:37,0.02,0.10
2024-06-10 16:22:41,16.83,0.10
2024-06-10 16:22:45,12.91,0.10
2024-06-10 16:22:49,0.03,0.10
2024-06-10 16:22:53,0.04,0.10
2024-06-10 16:22:57,0.04,0.10
2024-06-10 16:23:01,0.02,0.10
2024-06-10 16:23:05,0.02,0.10
2024-06-10 16:23:09,86.15,0.11
2024-06-10 16:23:13,51.15,0.11
2024-06-10 16:23:17,38.82,0.10
2024-06-10 16:23:21,0.01,0.10
2024-06-10 16:23:25,0.01,0.10
2024-06-10 16:23:29,0.03,0.10
2024-06-10 16:23:33,0.04,0.10
2024-06-10 16:23:37,0.03,0.10
2024-06-10 16:23:41,0.02,0.10
2024-06-10 16:23:45,0.02,0.10
2024-06-10 16:23:49,0.02,0.11
2024-06-10 16:23:53,38.06,0.11
2024-06-10 16:23:57,39.10,0.11
2024-06-10 16:24:01,0.04,0.10
2024-06-10 16:24:05,0.02,0.10
2024-06-10 16:24:09,0.02,0.11
2024-06-10 16:24:13,83.90,0.11
2024-06-10 16:24:17,36.88,0.11
2024-06-10 16:24:21,46.33,0.11
2024-06-10 16:24:25,33.86,0.10
2024-06-10 16:24:29,27.41,0.11
2024-06-10 16:24:33,2.78,0.10
2024-06-10 16:24:37,3.15,0.10
2024-06-10 16:24:41,0.03,0.10
2024-06-10 16:24:45,0.02,0.10
2024-06-10 16:24:49,0.32,0.10
2024-06-10 16:24:53,70.73,0.11
2024-06-10 16:24:57,27.75,0.10
2024-06-10 16:25:01,27.58,0.11
2024-06-10 16:25:05,9.80,0.10
2024-06-10 16:25:09,2.22,0.10
2024-06-10 16:25:14,68.63,0.11
2024-06-10 16:25:18,63.48,0.10
2024-06-10 16:25:22,0.01,0.10
2024-06-10 16:25:26,0.02,0.10
2024-06-10 16:25:30,0.01,0.10
2024-06-10 16:25:34,0.02,0.10
2024-06-10 16:25:38,0.02,0.11
2024-06-10 16:25:42,25.76,0.11
2024-06-10 16:25:46,23.66,0.11
2024-06-10 16:25:50,27.98,0.11
2024-06-10 16:25:54,37.52,0.10
2024-06-10 16:25:58,5.60,0.10
2024-06-10 16:26:02,4.00,0.11
2024-06-10 16:26:06,19.06,0.10
2024-06-10 16:26:10,6.06,0.10
2024-06-10 16:26:14,0.02,0.10
2024-06-10 16:26:18,0.02,0.10
2024-06-10 16:26:22,0.02,0.10
2024-06-10 16:26:26,68.01,0.11
2024-06-10 16:26:30,6.28,0.11
2024-06-10 16:26:34,2.42,0.10
